company_id,conversation_id,message_id,text,intent,should_escalate,relevant_evidence_ids,notes
comcast,470420,470422,"So, [USERNAME], what restitution will you be offering your customers who now can’t set their DVRs by app. So 🙁😡 I had to find out by Twitter search. We should have been notified. On demand doesn’t have everything. I’m sure you won’t let us FF, either.",,,,
comcast,2828556,2828557,"[USERNAME] Gonna be switching service when I wake up later today. You will not get my money, nor the money of anyone in this house. Furthermore keep an eye on your server stability today ;)",,,,
comcast,2958213,2958214,[USERNAME] #mobile_Care,,,,
comcast,601065,601066,"Help fix this, PLZ TYSM [USERNAME] https://t.co/asjglkThlS",,,,
comcast,572155,572157,[USERNAME] My internet has been offline (Portland) since early afternoon. When will service be restored?,,,,
comcast,2951849,2951853,[USERNAME] 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️ My neighborhood = Downtown Seattle. And I’m not releasing the info you’re requesting publicly. Maybe you guys could just try not sucking considering how much my monthly bill costs.,,,,
comcast,525248,525249,Hey [USERNAME] what the hell is up with the crappy ESPN signal? PAC12 playoff is dropping out video and audio,,,,
comcast,475803,475810,[USERNAME] DM sent with info requested. Xfinity acct. # = [PHONE],,,,
comcast,106668,106669,Hey [USERNAME] almost two days without internet service is too long. It would be nice if your customer service would say something other than asking if I've tried resetting the modem...,,,,
comcast,2873075,2873076,[USERNAME] #mobile_CareXI,,,,
comcast,2848578,2848582,[USERNAME] why am I unable to set up any recordings on my stream app?? 😡 😨,,,,
comcast,2866901,2866903,"[USERNAME] ... customer is being told 3 days to get a tech out & no one else is reporting, but people are saying they’ve called.",,,,
comcast,2959814,2959816,[USERNAME] [USERNAME] Do you think they will have it back up in time tonight,,,,
comcast,2911283,2911284,[USERNAME] [USERNAME] you guys really need to step up your customer service game. I've spent over 4 hours of my time trying to allow you guys a chance to make this right. Everyday I get a different story.,,,,
comcast,586529,586530,Wow!! Fifth time Comcast was suppose to put in new phones lines. Once again they come for the cable. I don't even know what to say. It's like talking to a wall. Disappointed is an understatement. This is too much.,,,,
comcast,2897021,2897024,Here's my justice league review! I went into the movie with little to no expectations. However the movie turned out to be better than I had dared hope. My favorite part [YOUR FREE TRIAL OF TWITTER HAS EXPIRED. CONTACT [USERNAME] FOR A PLAN THAT INCLUDES TWITTER],,,,
comcast,2604084,2604085,[USERNAME] #mobile_CareXI my internet is not on. It says I am connected.,,,,
comcast,455786,455790,"[USERNAME] You're saying the ONLY modem that a many times multi-billion dollar company can verify to work on a gigabyte connection is $500 retail??? There are dozens of other modems with the same DOCSYS3.1!!! However, Comcast can't confirm or deny if they work??? What a load of crap?!",,,,
comcast,2836221,2836222,"[USERNAME] [USERNAME] Ditto in Plymouth, IN, albiet with [USERNAME] https://t.co/mPVSggulah",,,,
comcast,456984,460417,"[USERNAME] DM sent. Here's the thing: This wasn't fraud perpetrated against my account (though it could easily have been). This is about me having a shitty experience trying to report a scam that didn't go through regular channels (SMS, not email) and certainly effected other customers.",,,,
comcast,489063,489065,[USERNAME] Waiting for that dm back JB!,,,,
