company_id,conversation_id,message_id,text,intent,should_escalate,relevant_evidence_ids,notes
comcast,470420,470422,"So, [USERNAME], what restitution will you be offering your customers who now can’t set their DVRs by app. So 🙁😡 I had to find out by Twitter search. We should have been notified. On demand doesn’t have everything. I’m sure you won’t let us FF, either.",television_service,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2828556,2828557,"[USERNAME] Gonna be switching service when I wake up later today. You will not get my money, nor the money of anyone in this house. Furthermore keep an eye on your server stability today ;)",billing_payment,true,"[""comcast:1430739"", ""comcast:1783791""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2958213,2958214,[USERNAME] #mobile_Care,account_access,true,"[""comcast:1022789"", ""comcast:1024867""]",closest approved intent; escalate if account/current-state/action is needed
comcast,601065,601066,"Help fix this, PLZ TYSM [USERNAME] https://t.co/asjglkThlS",general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,572155,572157,[USERNAME] My internet has been offline (Portland) since early afternoon. When will service be restored?,internet_connection,true,"[""comcast:1023973"", ""comcast:1170999""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2951849,2951853,[USERNAME] 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️ My neighborhood = Downtown Seattle. And I’m not releasing the info you’re requesting publicly. Maybe you guys could just try not sucking considering how much my monthly bill costs.,billing_payment,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,525248,525249,Hey [USERNAME] what the hell is up with the crappy ESPN signal? PAC12 playoff is dropping out video and audio,television_service,true,"[""comcast:2252524""]",closest approved intent; escalate if account/current-state/action is needed
comcast,475803,475810,[USERNAME] DM sent with info requested. Xfinity acct. # = [PHONE],account_access,true,"[""comcast:1949614"", ""comcast:729099""]",closest approved intent; escalate if account/current-state/action is needed
comcast,106668,106669,Hey [USERNAME] almost two days without internet service is too long. It would be nice if your customer service would say something other than asking if I've tried resetting the modem...,internet_connection,true,"[""comcast:1810776"", ""comcast:1871948""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2873075,2873076,[USERNAME] #mobile_CareXI,account_access,true,"[""comcast:1043872"", ""comcast:1057698""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2848578,2848582,[USERNAME] why am I unable to set up any recordings on my stream app?? 😡 😨,television_service,false,"[""comcast:2041956"", ""comcast:2310775""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2866901,2866903,"[USERNAME] ... customer is being told 3 days to get a tech out & no one else is reporting, but people are saying they’ve called.",technician_appointment,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2959814,2959816,[USERNAME] [USERNAME] Do you think they will have it back up in time tonight,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2911283,2911284,[USERNAME] [USERNAME] you guys really need to step up your customer service game. I've spent over 4 hours of my time trying to allow you guys a chance to make this right. Everyday I get a different story.,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,586529,586530,Wow!! Fifth time Comcast was suppose to put in new phones lines. Once again they come for the cable. I don't even know what to say. It's like talking to a wall. Disappointed is an understatement. This is too much.,television_service,false,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2897021,2897024,Here's my justice league review! I went into the movie with little to no expectations. However the movie turned out to be better than I had dared hope. My favorite part [YOUR FREE TRIAL OF TWITTER HAS EXPIRED. CONTACT [USERNAME] FOR A PLAN THAT INCLUDES TWITTER],general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2604084,2604085,[USERNAME] #mobile_CareXI my internet is not on. It says I am connected.,internet_connection,false,"[""comcast:1823224"", ""comcast:1047448""]",closest approved intent; escalate if account/current-state/action is needed
comcast,455786,455790,"[USERNAME] You're saying the ONLY modem that a many times multi-billion dollar company can verify to work on a gigabyte connection is $500 retail??? There are dozens of other modems with the same DOCSYS3.1!!! However, Comcast can't confirm or deny if they work??? What a load of crap?!",billing_payment,true,"[""comcast:1278353"", ""comcast:1972068""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2836221,2836222,"[USERNAME] [USERNAME] Ditto in Plymouth, IN, albiet with [USERNAME] https://t.co/mPVSggulah",general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,456984,460417,"[USERNAME] DM sent. Here's the thing: This wasn't fraud perpetrated against my account (though it could easily have been). This is about me having a shitty experience trying to report a scam that didn't go through regular channels (SMS, not email) and certainly effected other customers.",account_access,true,"[""comcast:1949614"", ""comcast:729099""]",closest approved intent; escalate if account/current-state/action is needed
comcast,489063,489065,[USERNAME] Waiting for that dm back JB!,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,72377,72383,[USERNAME] Check it out not a bs thing,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,452373,452374,[USERNAME] K,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,596497,596498,"Day two of waiting for useless [USERNAME] technical support to call back to restore services, and getting nowhere",general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,70823,70824,[USERNAME] what is with the Live TV app? I'm 10 feet from my router and content is skipping and stuttering. Unwatchable. 😟,television_service,false,"[""comcast:1597848"", ""comcast:1875144""]",closest approved intent; escalate if account/current-state/action is needed
comcast,571479,571481,"[USERNAME] [USERNAME] [USERNAME] Don't trust your guide, TiVo said there was no SSKickoff last week and there was. This week said there was one and there wasn't.",television_service,false,"[""comcast:2305706""]",closest approved intent; escalate if account/current-state/action is needed
comcast,448048,448049,"[USERNAME] also a 30 fucking dollar bounce fee, are y'all KIDDING me",billing_payment,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2979881,2979883,[USERNAME] [USERNAME] This is the most garbage thing I have ever seen.,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2911325,2911327,Hey [USERNAME] - who was the genius that thought it was a good idea to remove the RECORD functionality from your Xfinity iPhone TV remote App? Everyone I know uses that functionality. Time for a new service provider I guess. Even your Tier3 tech I just spoke to thought it was dumb,television_service,true,"[""comcast:1823406""]",closest approved intent; escalate if account/current-state/action is needed
comcast,474736,474737,[USERNAME] really!!! In the middle of a fucking game!!!! You idoits!!,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2857768,2857769,"not cool, [USERNAME] https://t.co/lrtOeYQezE",general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,527255,527259,[USERNAME] Been in US 1 year. I'd hope that's enough time to get a code worked out 😕. Any help appreciated.,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2821411,2821412,Fuck [USERNAME] and there shitty fucking customer service and the half assed techs that are lazy as fuck.,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,471730,471732,"[USERNAME] [USERNAME] It happens to me way too often, idk why, or anything, but I'm so irritated, wish I could switch for something better, but my area doesn't have much for speeds...",account_access,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2833924,2833925,[USERNAME] I contacted support and it’s working,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,1912544,1912551,Holy shit Comcast is fucking trash,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,1491200,1491206,"🏀Pelicans @ Dubs ⏰ #WarriorsPregameLive NOW 📺 NBC Sports Bay Area 💻 https://t.co/zBgsXOuiWf 📱 NBC Sports App 📍The Town, CA https://t.co/EFkvSMX49I",general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,554383,554384,[USERNAME] when are you going to start servicing our area?,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,589002,589006,[USERNAME] All good. Have a good day!,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2986650,2986651,[USERNAME] ...on the regular! https://t.co/UkiIDIJSY2,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2934932,2934933,"[USERNAME] Well shit, I had time in that last 1% to make my self a sandwich. Yum, but also wtf. Get it together [USERNAME]",general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,465335,465336,"[USERNAME] #mobile_CareXI internet is down, again.",internet_connection,false,"[""comcast:1047448"", ""comcast:1188303""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2946524,2946526,"Bill increased $100. Called to reduce, guy offered a promo and literally said ""you'll keep exact TV package you have now."" Tried to watch football that night and ESPN was gone. Tried to resolve with chat, no help. Kept trying to sell trip play pkg. 2hrs wasted so far 🤮[USERNAME]",billing_payment,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,502816,502817,[USERNAME] Waiting for message verification!!!!,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2983936,2983937,"If you get [USERNAME] you won’t have to deal with underpaid or international customer service. Because no matter who you call, they just won’t pick up anyway. 😄",general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,471742,471744,[USERNAME] Why are you injecting your own unsolicited content into websites? This should be illegal! https://t.co/Fy5C2JxL90,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,491069,491070,[USERNAME] Internet extremely slow.,internet_connection,true,"[""comcast:1089453"", ""comcast:1842017""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2864343,2864344,[USERNAME] When will I be able to set scheduled recordings from the PHONE APP again?? This needs to be resolved or I will cancel subscription.,account_access,true,"[""comcast:769753""]",closest approved intent; escalate if account/current-state/action is needed
comcast,564667,564669,"[USERNAME] the ultimate irony in a twitter handle. Should @[PHONE] hours on the phone to cancel HBO. F your bundles, F your phones. Jesus Christ.",account_access,true,"[""comcast:2161644""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2956605,2956606,[USERNAME] [USERNAME] nice job burying that wire... https://t.co/WCPG7nULoy,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,576326,576328,I look at my bill for this month... SAME FULL AMOUNT. Why does [USERNAME] hate me?,billing_payment,true,"[""comcast:1872267""]",closest approved intent; escalate if account/current-state/action is needed
comcast,104500,104501,"[USERNAME] [USERNAME] what is ""leaking internet""? Why are the reps at your 844 # so rude?",internet_connection,false,"[""comcast:1825583"", ""comcast:377081""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2943945,2943946,[USERNAME] This doesn't feel like a personal response.. sliding into the DM's is personal. Also if I am on the phone with customer service.. why are you insisting you are better? #woke,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2859309,2859312,[USERNAME] [USERNAME] [USERNAME] https://t.co/HQoHDmCxyR,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2850179,2850180,Is anyone else reporting [USERNAME] outage on [USERNAME] [USERNAME] ?,internet_connection,true,"[""comcast:2310043"", ""comcast:1928949""]",closest approved intent; escalate if account/current-state/action is needed
comcast,1667433,1667434,[USERNAME] your internet Is being booty. YouTube won't even play.,internet_connection,false,"[""comcast:1771601"", ""comcast:1837402""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2925292,2925293,[USERNAME] your internet service is so bad I can't connect to your online chat to troubleshoot your internet service. Can I get the $100 a month I pay you back please,billing_payment,true,"[""comcast:2161565"", ""comcast:1054207""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2920946,2920947,[USERNAME] Help. The outage here was supposed to be resolved. My t.v. and internet have been down half the day!!!!,internet_connection,true,"[""comcast:59762"", ""comcast:2382594""]",closest approved intent; escalate if account/current-state/action is needed
comcast,533748,533750,"[USERNAME] [USERNAME] I have not been assisted at ALL!! [USERNAME] , [USERNAME] [USERNAME] says it's your fault! Help",general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,568132,568136,[USERNAME] I reset it numerous times and it still doesn’t work,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,548964,548965,"[USERNAME] #mobile_Care Why is it so hard to get a hold of an agent?! I’m now trying, for a 3rd time, to get an agent to call me back regarding my suddenly higher cable bill...",billing_payment,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,66275,66276,Check out my [USERNAME] result! How fast is your internet? https://t.co/TojAHLm5Yo. Hey [USERNAME] is this what I am paying all this $$ for?,billing_payment,true,"[""comcast:754290"", ""comcast:2074105""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2904607,2904608,"[USERNAME] #mobile_CareXI Great speeds, awful reliability. I’m done.",account_access,true,"[""comcast:1043872"", ""comcast:1057698""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2968665,2968666,Cable/internet out...again. Twister it is! #damnoutage #comcast #dobettercomcast,television_service,false,"[""comcast:1451905"", ""comcast:1859282""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2933348,2933350,[USERNAME] Thanks pressing right works perfectly* Thank You again,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,555669,555670,[USERNAME] our internet is down again at home. Nice,internet_connection,false,"[""comcast:1771601"", ""comcast:1837402""]",closest approved intent; escalate if account/current-state/action is needed
comcast,2987579,2987580,[USERNAME] can we get some technicians in Bloomington Indiana !! I can't even connect to my own wifi,technician_appointment,true,"[""comcast:1160985"", ""comcast:1619983""]",closest approved intent; escalate if account/current-state/action is needed
comcast,100737,100738,"[USERNAME] It's ok, I talked to your phone support people. They officially don't care, and four hours being a short disruption is their official line.",general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
